製品名,厚み,幅,巻数,単価,品名
屋内用透明糸入り0.3t静電・防炎,0.3,2030,50,1235,ST-3000
屋内用透明糸入り0.5t静電・防炎,0.5,2030,30,1600,ST-5000
屋内用耐熱透明0.3t静電・防炎,0.3,1070,30,1100,耐熱透明
屋内用防虫オレンジ0.3t静電・防炎,0.3,1370,30,910,防虫オレンジ
屋外用透明糸入り0.75t静電・防炎,0.75,1850,25,3190,T-7070VF
屋外用耐候・耐寒0.55t静電・防炎,0.55,2050,25,2360,クリスタルターポCT-1055-6（耐寒・耐候）
屋外用不透明不燃（ヒット100F）0.52t静電・防炎,0.52,2030,50,6120,ヒット100F
屋外用不透明（5MR）0.52t静電・防炎,0.52,2030,50,2771,5MR-FS
屋外用不透明遮熱（5MR-COOL）0.52t静電・防炎,0.52,2030,50,3023,5MR-COOL
屋内用不透明0.5t静電・防炎,0.5,1870,30,1749,コスモスペーサーTH50
屋内用不透明0.35t静電・防炎,0.35,1870,50,1089,コスモスペーサーTH35
屋内用耐寒0.5t静電・防炎,0.5,2050,25,1900,クリスタルターポCT-1055-3（耐寒）
屋内用抗菌0.3t静電・防炎,0.3,2050,50,1720,クリスタルターポCT-1030-8（抗菌）
屋内用ライトブルー0.3t静電・防炎,0.3,1370,30,910,ライトブルー
屋内用ライトグリーン0.3t静電・防炎,0.3,1370,30,910,ライトグリーン
屋内用ライトブルー0.5t静電・防炎,0.5,1370,20,1520,ライトブルー
屋内用遮熱透明0.3t静電・防炎,0.3,1070,30,1820,遮熱透明
屋内用オプトロン糸入り0.3t静電・防炎,0.3,2050,10,2500,オプトロン糸入り
屋内用オプトロン糸入り0.8t静電・防炎,0.8,915,12,1960,オプトロン0.8
屋内用不燃透明（アキレスフネンクリア）0.3t静電・防炎,0.3,1000,20,13700,アキレスフネンクリア
屋内用アーク光対策0.35t静電・防炎,0.35,1370,40,760,ウェルディングカーテン
屋内用0.5t静電・防炎,0.5,1370,20,1740,セイデンクリスタル
屋内用1t静電・防炎,1,1370,10,3640,セイデンクリスタル
屋内用0.3t静電・防炎,0.3,1370,30,1090,セイデンクリスタルナシジ
屋内用0.3t静電・防炎,0.3,1370,30,1660,セイデンクリスタルBK
屋内用防虫オレンジ0.3t静電・防炎,0.3,1830,30,860,防虫フラーレ
屋外用透明0.5t静電・防炎,0.5,1370,30,2270,スカイクリア0.5ｔ
屋外用透明0.75t静電・防炎,0.75,1370,20,3630,スカイクリア0.75ｔ
屋内用透明0.3t静電・防炎,0.3,1830,30,480,広化FDN（耐電防炎）
屋内用透明0.3t静電・防炎,0.3,1830,30,380,広化FNN（防炎）
屋内用不燃半透明（G-1025BT）0.28t静電・防炎,0.28,2030,30,2640,G-1205BT
屋内用不燃透明（G-1025CL）0.27t静電・防炎,0.27,1150,30,3290,G-1025CL
屋内用不燃アーク光対策（G-1025CLY）0.27t静電・防炎,0.27,1150,30,3560,G-1025CLY
屋外用メッシュ#1003455g/㎡静電・防炎,455,1890,52,1380,ﾀｰﾎﾟｽｸﾘｰﾝ#1003
屋外用メッシュ#1004455g/㎡静電・防炎,455,1890,52,1400,ﾀｰﾎﾟｽｸﾘｰﾝ#1004
屋外用メッシュ#1023400g/㎡静電・防炎,400,1890,52,1400,ﾀｰﾎﾟｽｸﾘｰﾝ#1023
屋外用メッシュ#1034470g/㎡静電・防炎,470,1890,52,1450,ﾀｰﾎﾟｽｸﾘｰﾝ#1034
屋外用メッシュ#1005530g/㎡静電・防炎,530,1870,52,2220,ﾀｰﾎﾟｽｸﾘｰﾝ#1005
屋外用メッシュ#2014170g/㎡静電・防炎,170,1870,100,790,ﾀｰﾎﾟｽｸﾘｰﾝ#2014
屋外用メッシュ#2024110g/㎡静電・防炎,110,1890,104,570,ﾀｰﾎﾟｽｸﾘｰﾝ#2024
屋外用メッシュ#2039170g/㎡静電・防炎,170,1890,104,680,ﾀｰﾎﾟｽｸﾘｰﾝ#2039
屋外用メッシュ#2054130g/㎡静電・防炎,130,1890,104,500,ﾀｰﾎﾟｽｸﾘｰﾝ#2054
